image_name,category,source,capture_date,device,resolution,magnification,annotation_status,remark
M12.jpg,unknown,unknown,unknown,unknown,960x1280,unknown,labeled,人工Mask已复核；冻结留出图，禁止调参
M9.jpg,unknown,unknown,unknown,unknown,960x1280,unknown,labeled,人工Mask已复核；冻结留出图，禁止调参
public_001.jpg,unknown,unknown,unknown,unknown,226x226,unknown,labeled,人工Mask已复核；开发图
public_002.jpg,unknown,unknown,unknown,unknown,226x226,unknown,labeled,人工Mask已复核；冻结留出图，禁止调参
public_003.jpg,unknown,unknown,unknown,unknown,226x226,unknown,labeled,人工Mask已复核；开发图
public_004.jpg,unknown,unknown,unknown,unknown,226x226,unknown,labeled,人工Mask已复核；开发图
public_005.jpg,unknown,unknown,unknown,unknown,226x226,unknown,labeled,人工Mask已复核；开发图
public_006.jpg,unknown,unknown,unknown,unknown,226x226,unknown,labeled,人工Mask已复核；开发图
public_007.jpg,unknown,unknown,unknown,unknown,226x226,unknown,labeled,人工Mask已复核；开发图
public_008.jpg,unknown,unknown,unknown,unknown,226x226,unknown,labeled,人工Mask已复核；开发图
public_009.jpg,unknown,unknown,unknown,unknown,226x226,unknown,labeled,人工Mask已复核；开发图
public_010.jpg,unknown,unknown,unknown,unknown,226x226,unknown,labeled,人工Mask已复核；开发图
public_011.jpg,unknown,unknown,unknown,unknown,226x226,unknown,labeled,人工Mask已复核；冻结留出图，禁止调参
